id_cliente,nombre_cliente,edad,genero,pais,ciudad,segmento,nivel_satisfaccion,ingresos_mensuales,compras_ultimos_6m,monto_total_compras,fecha_registro,canal_preferido,reclamos_ultimos_6m,tiempo_entrega_dias,estado_cliente,score_riesgo,email,telefono
C0001,Natalia Vargas,43,Masculino,el salvador,San José,Bronce,Muy alto,"501,099",8,164519,04/04/2024,WhatsApp,2,5.8,Bloqueado,688.0,nataliavargas@correo.com,61849593
C0002,Adriana Torres,57,m,Nicaragua,Puntarenas,Oro,Bajo,938129,7,277828,2026-02-25,Correo,0,4.6,activo,377.0,adrianatorres@correo.com,53767242
C0003,Pablo Monge,19,F,Guatemala,Alajuela,Oro,Muy alto,956439,10,0,03/07/2025,Llamada,0,3.2,Activo,252.0,pablomonge@correo.com,82814893
C0004,Emilio Aguilar,28,F,Panamá,Cartago,,Medio,490545,8,138229,07-24-2024,WhatsApp,7,5.5,Bloqueado,561.0,emilioaguilar@correo.com,50983930
C0005,María Mora,36,M,Guatemala,,Premium,Medio,338284,6,,2026-03-30,llamada,0,5.8,,417.0,mariamora@correo.com,78108013
C0006,Valeria Solís,150,M,Nicaragua,,premium,Bajo,,6,215033,2024-07-09,whatsapp,1,3.5,Bloqueado,784.0,valeriasolis@correo.com,91699854
C0007,Camila Solís,45,F,Cost Rica,Managua,Oro,1,751940,13,15000000,2024-04-16,Llamada,3,4.6,activo,419.0,camilasolis@correo.com,
C0008,José Navarro,-5,F,Guatemala,Puntarenas,Bronce,Bajo,,6,67550,2024-06-15,llamada,0,6.4,ACTIVO,808.0,josenavarro@correo.com,34216073
C0009,Andrés Hernández,36,M,Costa Rica,Liberia,Oro,Bajo,1256679,15,235154,2025-06-07,App,1,3.7,activo,251.0,andreshernandez@correo.com,35615951
C0010,Sebastián Cordero,25,M,Nicaragua,Heredia,Bronce,Medio,744996,14,375421,06-22-2024,Email,1,7.1,,741.0,sebastiancordero@correo.com,33200379
C0011,Jorge Monge,40,F,Costa Rica,Alajuela,,Alto,499455,15,365883,03-12-2025,whatsapp,0,2.5,Inactivo,701.0,jorgemonge@correo.com,87347143
C0012,Sofía Soto,36,F,Nicaragua,Ciudad de Guatemala,Premium,Bajo,532738,15,356762,12/08/2024,email,0,2.2,Pendiente,493.0,sofiasoto@correo.com,29806990
C0013,Esteban Navarro,37,Female,Panamá,Antigua,Bronce,Bajo,1439534,11,271681,2025-11-16,email,0,5.2,inactivo,351.0,estebannavarro@correo.com,12419049
C0014,Mónica Jiménez,50,F,Panamá,Managua,Premium,Bajo,853401,11,430735,2025-03-21,,4,4.1,inactivo,573.0,monicajimenez@correo.com,94531473
C0015,Lucía Rojas,23,M,Panamá,Managua,Plata,medio,720432,8,176449,06/09/2024,Correo,0,4.9,Pendiente,848.0,luciarojas@correo.com,74443135
C0016,Valeria Jiménez,33,M,El Salvador,Alajuela,Plata,Medio,971052,3,102046,2024-07-07,,2,2.8,Bloqueado,545.0,valeriajimenez@correo.com,22941318
C0017,Adriana Pérez,18,No indica,Nicaragua,Managua,Premium,Alto,"₡981,585",15,290881,10-16-2024,Llamada,0,2.6,activo,725.0,adrianaperez@correo.com,36183242
C0018,Emilio Monge,45,M,Nicaragua,Ciudad de Panamá,Bronce,Alto,920057,5,110383,2025-08-13,whatsapp,0,4.6,inactivo,417.0,emiliomonge@correo.com,71756551
C0019,Mónica Salazar,27,,nicargua,Puntarenas,Bronce,Muy alto,780402,19,464845,03-24-2025,App,0,3.4,inactivo,676.0,,13171274
C0020,Jimena Salazar,42,M,El Salvador,Heredia,Premium,Alto,1196672,7,124416,07-19-2025,Llamada,3,4.9,ACTIVO,393.0,jimenasalazar@correo.com,60576627
C0021,Esteban Vargas,43,F,Guatemala,San Salvador,Oro,Muy alto,1849323,4,67498,02-06-2024,whatsapp,1,7.9,inactivo,698.0,estebanvargas@correo.com,17240050
C0022,Sofía Hernández,18,F,Costa Rica,Antigua,Plata,Alto,771674,6,119245,11-02-2024,,1,4.6,Activo,850.0,sofiahernandez@correo.com,69594406
C0023,Alonso Alvarado,33,Masculino,Guatemala,Puntarenas,Plata,Bajo,650968,0,18896,06/07/2025,email,3,8.1,Activo,745.0,alonsoalvarado@correo.com,51712368
C0024,Camila Araya,42,Masculino,Nicaragua,Puntarenas,Oro,Medio,1158499,11,291393,2024-04-28,SMS,1,5.2,,820.0,camilaaraya@correo.com,
C0025,Daniela Hernández,37,M,PAN,Cartago,Premium,Bajo,503551,6,184332,26/08/2024,Llamada,2,2.5,activo,840.0,danielahernandez@correo.com,21020539
C0026,Luis Soto,33,F,Panamá,Alajuela,Bronce,Alto,344415,1,"₡19,009",11-25-2024,SMS,0,2.6,inactivo,677.0,luissoto@correo.com,47896118
C0027,Daniela Hernández,18,Femenino,Panamá,San Salvador,Premium,Bajo,2256600,12,255659,07/02/2026,email,1,5.7,Activo,461.0,danielahernandez@correo.com,73158514
C0028,Emilio Ramírez,43,F,Panama,Managua,Bronce,4,580095,8,error,02-11-2026,App,0,2.1,Activo,614.0,emilioramirez@correo.com,81561497
C0029,Diego Solís,38,F,Guatemala,Liberia,Premium,2,875605,7,66840,20/03/2024,Correo,1,6.9,Inactivo,-100,diegosolis@correo.com,97516136
C0030,Paula Torres,33,M,Costa Rica,Cartago,Plata,Medio,674727,4,154998,16/08/2025,Email,3,3.9,activo,444.0,paulatorres@correo.com,71774490
C0031,Daniela Navarro,45,F,Costa Rica,Ciudad de Panamá,Plata,Muy alto,868885,9,257301.00,03-25-2025,,0,4.7,Pendiente,495.0,danielanavarro@correo.com,51518644
C0032,Lucía Castro,28,M,Nicaragua,Liberia,Bronce,Muy alto,853136,6,148367,2024-10-29,SMS,1,3.4,,647.0,luciacastro@correo.com,
C0033,Emilio Torres,34,M,Nicaragua,Cartago,Oro,Muy alto,1110061,0,19179,2024-10-18,Email,0,4.5,ACTIVO,512.0,emiliotorres@correo.com,75060685
C0034,Diego Rojas,31,F,GT,Ciudad de Guatemala,Premium,Bajo,654677,10,253265,10-16-2025,Email,0,3.3,ACTIVO,260.0,diegorojas@correo.com,24609539
C0035,María Pérez,,F,Nicaragua ,Puntarenas,Bronce,Bajo,,5,55371,05-05-2025,App,0,1.7,ACTIVO,272.0,mariaperez@correo.com,sin telefono
C0036,Esteban Mora,41,F,Nicaragua,Antigua,Premium,Alto,1986407,4,58838,09/11/2024,Llamada,0,4.3,,275.0,estebanmora@correo.com,64016582
C0037,Luis Soto,53,M,ESA,San Salvador,Bronce,Alto,"676,966",11,146152,2025-04-01,Llamada,0,6.6,Pendiente,324.0,luissoto@correo.com,71551884
C0038,Kevin Chaves,27,F,nicargua,Ciudad de Guatemala,Bronce,2,ND,7,57439,03-09-2026,Email,0,5.8,activo,796.0,kevinchaves@correo.com,24225358
C0039,Valeria Araya,31,,Guatemala,Managua,Oro,Bajo,1004380,14,119689,2025-05-09,whatsapp,1,4.8,Inactivo,286.0,valeriaaraya@correo.com,35925556
C0040,Lucía Hernández,24,F,Panamá,Managua,Oro,Medio,845125,-2,0,21/02/2024,whatsapp,3,4.6,activo,572.0,luciahernandez@correo.com,45650609
C0041,María Solís,18,M,El Salvador,Antigua,Oro,Medio,ND,7,124591,19/09/2025,WhatsApp,6,4.7,,452.0,mariasolis@correo.com,94705516
C0042,Camila Monge,18,,El Salvador,Antigua,Bronce,Muy alto,715335,4,error,2025-06-15,SMS,8,2.8,activo,824.0,camilamonge@correo.com,85497334
C0043,Adriana Torres,28,M,El Salvador,,Premium,Muy alto,1180468,0,16080,05/07/2025,Llamada,1,5.4,Activo,602.0,adrianatorres@correo.com,83301657
C0044,Ricardo Gómez,18,F,Guatemala,Liberia,Bronce,Medio,934726,14,406723,10/02/2025,SMS,1,3.9,Inactivo,272.0,ricardogomez@correo.com,54788728
